County,Income
North Carolina,58109
Alamance,48980
Alexander,48035
Alleghany,44464
Anson,50187
Ashe,44433
Avery,45653
Beaufort,54554
Bertie,49409
Bladen,48424
Brunswick,58281
Buncombe,61560
Burke,44631
Cabarrus,54754
Caldwell,44761
Camden,56906
Carteret,63531
Caswell,41155
Catawba,55223
Chatham,79769
Cherokee,40021
Chowan,51005
Clay,43753
Cleveland,45126
Columbus,44109
Craven,54327
Cumberland,46024
Currituck,59381
Dare,76100
Davidson,48523
Davie,60579
Duplin,52760
Durham,59070
Edgecombe,43507
Forsyth,57781
Franklin,46330
Gaston,49674
Gates,49850
Graham,41336
Granville,46906
Greene,38963
Guilford,55008
Halifax,44768
Harnett,44192
Haywood,50894
Henderson,55243
Hertford,41529
Hoke,41181
Hyde,48593
Iredell,64437
Jackson,44870
Johnston,49672
Jones,48585
Lee,49622
Lenoir,51039
Lincoln,58227
McDowell,43983
Macon,48309
Madison,44497
Martin,42553
Mecklenburg,76441
Mitchell,43990
Montgomery,46774
Moore,62886
Nash,50715
New Hanover,60943
Northampton,47614
Onslow,51585
Orange,77568
Pamlico,52301
Pasquotank,47234
Pender,49887
Perquimans,53355
Person,45304
Pitt,53495
Polk,61494
Randolph,46748
Richmond,46009
Robeson,41071
Rockingham,45332
Rowan,46990
Rutherford,42525
Sampson,46849
Scotland,41064
Stanly,48212
Stokes,46391
Surry,48778
Swain,51517
Transylvania,55406
Tyrrell,45079
Union,67641
Vance,43356
Wake,76357
Warren,37601
Washington,45405
Watauga,48445
Wayne,49370
Wilkes,47495
Wilson,48774
Yadkin,47455
Yancey,42006